"Year","HDI","Solar","Biofuel","Wind","Coal","Nuclear","Other_renewables","Gas","Oil","Hydropower"
2007,"High",0.513,124.085,19.56,21017.882,501.393,153.54,6017.04,11181.544,3059.81
2007,"Medium",0.182,0.525,31.777,2902.685,53.523,19.664,930.853,2311.557,426.353
2007,"Very high",19.788,259.247,399.671,15399.972,6625.326,581.637,21480.236,31492.623,3995.178
2008,"High",0.644,166.772,41.851,21442.425,514.782,173.501,6307.278,11404.64,3459.286
2008,"Medium",0.21,0.692,38.75,3138.49,44.816,24.555,980.172,2404.993,388.851
2008,"Very high",32.265,356.22,499.043,15278.59,6553.005,604.09,21851.015,30774.507,4053.769
2009,"High",1.017,185.336,81.155,22240.514,496.459,198.261,6402.751,11567.797,3398.565
2009,"Medium",0.277,0.219,43.725,3368.447,50.791,30.545,1100.551,2545.692,369.643
2009,"Very high",53.356,412.343,594.967,13690.941,6417.821,629.877,20953.721,29549.266,4063.661
2010,"High",2.279,196.373,142.686,23189.793,515.798,233.92,7115.308,12430.574,3687.487
2010,"Medium",0.446,0.113,52.461,3472.065,66.811,37.277,1213.966,2623.95,381.629
2010,"Very high",84.466,489.116,702.636,14457.57,6520.859,684.042,22411.218,30052.32,4109.797
2011,"High",7.758,186.727,209.17,25162.719,560.3,243.939,7669.699,12908.426,3733.072
2011,"Medium",2.364,0.819,63.879,3636.786,93.72,44.418,1223.926,2768.08,436.859
2011,"Very high",157.294,526.703,861.154,14317.402,6104.563,709.222,22582.962,29985.048,4128.621
2012,"High",12.266,187.368,294.777,25484.028,586.523,258.705,8012.392,13395.632,4142.746
2012,"Medium",5.811,0.637,72.548,3930.638,92.354,51.36,1211.549,2905.697,343.42
2012,"Very high",239.128,540.553,990.129,13889.133,5575.255,760.374,23078.001,29922.775,4119.983
2013,"High",27.885,223.368,389.902,26049.81,615.451,291.171,8271.372,13861.355,4196.415
2013,"Medium",9.611,0.75,80.965,4189.787,103.363,57.562,1147.755,2969.937,485.835
2013,"Very high",315.295,549.882,1143.887,13868.146,5552.252,797.5,23415.127,29896.629,4239.116
2014,"High",70.347,261.263,466.457,25776.165,673.376,336.131,8682.883,14033.305,4511.168
2014,"Medium",13.67,0.644,92.09,4618.4,99.355,62.813,1151.51,3018.843,448.685
2014,"Very high",414.736,569.064,1222.319,13646.556,5580.094,828.521,23173.473,29965.968,4128.884
2015,"High",116.432,274.412,568.536,25285.587,761.714,365.253,8923.299,14248.949,4533.672
2015,"Medium",18.202,1.168,91.202,4733.845,108.102,66.738,1186.261,3218.346,433.555
2015,"Very high",506.428,583.242,1419.316,12926.477,5546.94,876.293,23565.858,30397.304,4068.417
2016,"High",190.952,277.33,744.132,25187.913,862.443,393.18,9142.794,14391.379,4683.029
2016,"Medium",32.408,1.919,120.376,4817.247,108.894,64.369,1269.365,3532.806,423.759
2016,"Very high",587.66,611.238,1530.922,12252.138,5519.006,865.094,24069.363,30890.638,4149.882
2017,"High",331.061,286.282,927.5,25250.17,957.531,445.819,9662.096,14670.476,4777.138
2017,"Medium",57.951,1.181,144.415,5008.944,113.225,65.009,1336.341,3636.305,427.17
2017,"Very high",708.417,625.798,1749.189,12144.758,5462.971,890.931,24439.079,31091.348,4111.468
2018,"High",495.586,336.545,1102.518,25684.508,1060.508,488.72,10316.906,14904.85,4860.491
2018,"Medium",96.077,1.302,167.255,5380.762,121.405,67.601,1447.381,3712.967,430.278
2018,"Very high",828.878,641.145,1848.328,11895.825,5455.589,913.667,25581.926,31325.401,4201.533
2019,"High",660.011,398.244,1233.581,26470.444,1187.948,527.81,10560.757,15373.251,5018.061
2019,"Medium",122.542,1.295,180.261,5442.764,135.406,65.133,1606.002,3766.872,500.236
2019,"Very high",960.528,638.398,2079.611,10744.623,5514.573,959.727,25934.217,31201.934,4085.431
