"Year","HDI","Solar","Biofuel","Wind","Coal","Nuclear","Other_renewables","Gas","Oil","Hydropower"
2016,"High",190.629,277.33,737.252,24841.777,862.443,393.009,7923.327,13256.819,4327.809
2016,"Low",1.658,0,3.543,62.118,13.589,1.941,386.507,328.849,87.045
2016,"Medium",31.048,1.919,123.713,5099.83,95.305,62.599,1729.937,4037.133,536.774
2016,"Very high",587.66,611.238,1530.922,12252.138,5519.006,865.094,24069.363,30890.638,4149.882
2017,"High",329.508,286.282,921.554,24904.362,957.531,445.628,8621.493,13685.06,4374.189
2017,"Medium",59.479,1.181,150.361,5353.275,113.225,65.2,1990.89,4364.407,681.878
2017,"Very high",708.417,625.798,1749.189,12144.758,5462.971,890.931,24439.079,31091.348,4111.468
2018,"High",495.564,336.545,1102.518,25683.171,1060.508,488.72,10000.715,14682.348,4718.857
2018,"Medium",96.077,1.302,167.255,5380.762,121.405,67.601,1447.381,3712.967,430.278
2018,"Very high",828.878,641.145,1848.328,11895.825,5455.589,913.667,25581.926,31325.401,4201.533
2019,"High",659.982,398.244,1233.215,26469.566,1187.948,527.81,10296.199,15177.179,4861.398
2019,"Medium",122.542,1.295,180.261,5442.764,135.406,65.133,1606.002,3766.872,500.236
2019,"Very high",960.528,638.398,2079.611,10744.623,5514.573,959.727,25934.217,31201.934,4085.431
